,actual,predicted
51469,19900,32279.877
23651,16500,17565.139
32516,185000,67397.555
19673,46900,47872.64
13367,53500,61766.105
12534,30000,27791.047
44399,103900,67493.11
49529,83499,40894.75
36797,77900,60968.875
3827,34500,27516.906
52759,21999,30170.05
30000,35750,55344.402
27994,42500,54318.21
45483,28900,12992.27
31817,36000,31918.828
20203,11900,23391.402
666,8900,14383.784
8505,38995,47312.395
4139,28500,44896.316
31450,50000,48298.81
6,26500,16677.559
53349,15900,24361.283
13157,19000,19906.387
10773,71000,21362.639
44044,80000,54728.4
30695,36800,30361.393
12461,44800,50313.777
47424,6995,8791.883
10756,4500,8428.088
14017,42500,33260.133
49603,18500,25562.766
20218,38000,49610.438
50520,15000,21329.697
54001,29000,55204.848
35862,6500,11292.504
33588,62000,58562.4
42181,21500,29285.787
9618,25625,31618.9
37721,18900,25169.223
30436,15900,13001.417
6692,11500,21499.516
25975,42950,38969.32
20774,22500,18679.383
45113,14000,14166.97
47984,35273,46667.55
15492,49000,42475.137
42819,20900,45237.426
53601,69900,56194.58
36982,2990,28231.254
9382,32100,24558.514
1575,27200,15531.441
8967,11495,31624.342
29845,10999,16218.828
5282,62000,50533.066
44533,15500,15742.663
22974,44500,54812.832
41310,12468,27664.326
41160,44900,76540.85
3305,16000,16479.086
22143,27500,46008.723
15241,98000,51408.285
32911,19000,17058.924
24459,36500,31867.99
40977,30000,31208.988
10098,17390,19529.719
3695,54500,56809.363
35283,10000,13469.569
17661,88900,42559.473
49657,67999,40070.0
47534,28000,35401.004
49672,5100,7030.02
51309,52000,40775.516
3887,23000,26279.86
43592,20500,52026.184
32251,33885,35225.0
1315,10900,12374.447
39899,6500,9731.167
35186,37500,59898.004
6745,29000,49615.3
1354,28500,40608.953
8696,10500,25637.098
40290,54999,43444.844
50690,73000,42193.434
39230,55000,38881.844
2344,8700,25155.799
16190,29000,37475.34
19041,6900,10701.735
31890,75000,46654.438
15859,79999,66590.32
41766,19000,21839.16
39730,8000,9853.417
10307,35387,43929.85
18606,13046,11587.684
35071,15450,13172.814
33674,23000,38959.566
40793,32000,33856.293
49612,13900,13851.131
37872,17000,21232.715
13393,47500,55976.797
48413,47500,58378.91
5281,117000,62063.734
4350,9500,9808.463
51258,34995,25262.873
12353,44900,84155.16
2122,4500,9890.598
475,229900,12697.468
30726,80300,40870.77
45770,24000,37963.305
13318,38999,48854.367
35885,14599,14803.5205
42110,35387,25669.863
16251,52000,35091.812
16683,229900,39648.926
36288,18300,24262.389
53065,41000,36256.977
32304,27000,36111.855
28382,6700,13697.575
7958,17500,9871.019
14554,45999,43925.203
4196,13000,14400.391
38965,11995,8875.214
14210,14945,35206.227
32286,10000,13014.164
7166,27800,28077.148
23790,44999,44003.78
12346,22550,17883.936
20607,149500,45309.973
12349,7500,11344.239
48337,95580,44177.08
31150,87500,46999.56
39147,7900,13564.749
20327,19999,28513.24
31902,12500,42704.64
39095,28250,40803.383
37088,11250,16412.838
14590,21000,24193.77
32173,99000,63767.43
49584,12000,17134.408
23289,10500,9718.118
45857,17000,16315.019
10922,5230,8953.278
40811,8950,10950.194
43526,4800,8943.722
14020,9950,11352.185
17939,50000,66951.61
11887,18000,23486.25
18475,6500,9035.898
49761,19395,31168.512
13036,8995,7168.0527
36823,26500,46969.89
13088,18000,25014.78
17138,12500,21138.713
20663,9875,8721.109
3357,8550,12855.415
8974,19995,25319.244
50062,18500,26218.205
52712,15900,11925.018
16907,18000,29143.557
42246,46500,34556.05
28059,47645,48377.582
47483,20500,38701.496
12801,5900,7830.0693
42642,4100,24481.94
40442,47645,55332.137
38507,26500,31529.312
50529,131000,95599.19
21488,16750,28034.836
19202,11500,14959.514
24145,4500,10468.978
45933,60894,67401.61
40278,12000,20271.912
11966,9999,13419.944
198,12500,13189.153
41266,92500,62828.34
37678,16500,12608.881
48100,65000,43114.203
52920,5900,16344.005
40198,25900,43335.668
42452,18000,37649.594
27799,29500,27959.02
52305,13999,16381.092
49503,17800,17517.678
15463,41500,65706.1
45667,26900,22633.963
51831,243900,60393.824
4116,9500,11936.683
39194,53600,60421.77
27507,40459,72874.336
7251,138999,63306.8
26752,13500,29777.945
27648,79990,67351.03
1483,15000,18071.104
26432,7100,14390.485
3147,52900,51438.668
3708,20000,29815.42
33173,15500,13947.742
28254,23800,38529.457
4354,42000,31099.328
47881,54999,66144.39
32237,26000,32615.713
688,21000,23299.047
53305,50000,46202.26
8707,30000,42106.785
52640,32999,30633.465
35498,21865,37791.56
40575,16500,18972.781
52628,29993,35943.41
34057,57500,42773.008
24029,81500,81253.32
15755,11000,18440.98
43934,30989,32554.242
37733,15000,16299.62
35149,38436,64271.7
49845,22500,44339.3
39939,41000,39350.793
43748,29999,68755.26
43565,62500,50720.75
1577,15499,24249.338
659,77900,81289.38
50695,26816,47041.61
38875,4500,11655.967
4190,76000,55436.723
339,45900,34605.125
42354,36800,45266.562
53814,5000,7441.7695
33413,46500,33757.758
45272,69500,37394.918
46123,33000,38209.707
22296,75000,58259.164
29578,30500,57273.92
45760,17500,21608.062
50338,19500,19958.105
16794,72500,56988.15
53143,50000,47420.426
2481,16500,21544.273
32428,26000,46305.344
19061,57000,73098.164
31168,32999,30916.63
18557,7200,16317.006
28670,55000,53141.387
47094,47500,51231.72
2163,130000,76434.88
23171,51499,32015.389
34248,34000,25824.941
49481,46900,45754.59
49483,234000,41604.78
40186,85989,72780.125
44531,11500,13898.321
20588,25000,29648.781
50760,84620,71135.83
44593,26999,40236.188
9493,26000,79466.88
26586,20000,35044.656
12836,47500,31580.469
50727,83999,55302.06
21462,43000,37394.918
49654,32000,27675.17
25153,3999,7496.795
36391,12499,25924.65
30438,39750,44379.086
16459,35000,26661.6
35704,45000,32120.783
37852,82000,75745.59
16919,129000,64520.867
48905,19800,23480.965
50570,10500,11004.42
42451,21000,20149.156
6670,52500,46612.16
27640,51500,58562.4
27180,10000,10685.188
54058,35000,22286.828
4995,31700,32011.562
20135,8999,11806.861
28316,12500,23193.191
30284,33500,51604.34
13634,12499,17863.291
16678,96850,62498.15
34105,14500,15997.285
52330,5990,11690.505
25207,13500,20423.459
26631,21590,21246.678
46990,34900,18863.73
30782,7900,14835.239
37147,4700,13495.586
20781,11600,23780.992
32449,75500,63026.16
27247,74900,38897.445
25562,17000,7101.679
33470,2300,11415.897
13745,29999,54240.344
6332,15000,24150.127
40871,33000,28550.568
16123,30000,30210.42
23148,21590,35219.406
9944,27500,43469.555
12169,54000,62151.973
43608,36994,75601.32
31634,43500,61030.586
991,17000,13258.232
40457,22999,60565.613
16630,16000,16366.66
18365,32300,44883.586
53496,29995,51001.566
17012,9995,13554.139
16716,28500,38485.375
3506,29500,53640.188
494,104000,56537.19
46840,6500,9635.761
34852,15999,13634.685
49344,4999,9368.354
13051,29000,38975.633
46368,27800,53096.87
4037,4700,8469.52
25508,147500,56743.54
7977,70000,45265.188
37431,48000,66060.09
14069,35000,24927.877
27572,19999,21899.527
33760,13999,29518.4
20211,69000,47231.25
6022,35000,50515.42
10435,9000,28722.023
27842,20500,21329.936
9892,17500,11664.77
27861,29000,27429.748
50992,44900,53933.67
26420,52500,37579.117
34166,8200,15044.436
45060,35999,24727.803
4582,44900,38885.605
36939,72500,71552.7
22249,45900,68325.35
27070,4100,9235.462
31979,50000,60634.64
48942,23500,45708.676
32573,38000,36173.164
47578,38000,31557.207
48383,25500,29701.295
36117,83900,73547.2
13825,7900,10504.7295
39205,23750,35853.754
19835,43860,58197.523
44078,229900,24434.762
15625,34900,37757.746
38250,31000,36737.996
43967,20000,22009.2
39737,32000,34386.992
14032,48000,51400.273
35371,33200,25204.203
6356,11000,11980.8545
13653,49500,46486.68
15951,30950,32056.666
14786,6000,75586.81
45793,25495,36286.76
42828,57850,68006.69
41656,24350,27613.879
49095,76400,48329.977
17250,8700,9753.755
2185,46000,32577.22
12126,48889,37556.926
18488,10000,13770.349
28664,72999,26188.016
45553,37000,34126.715
17297,21865,24771.475
28066,89000,76592.2
9587,25000,58223.953
13337,48000,50313.777
29313,74995,66550.4
47567,60000,72609.25
35700,27499,13854.8
45957,22999,40950.734
41746,18000,25229.791
31568,22000,41804.637
14180,28825,40145.438
19949,15000,12290.7295
32156,27500,45373.22
52532,13000,16858.525
11566,20000,14808.698
33868,79999,59903.188
47818,18750,23761.916
24667,50000,57497.637
23613,14900,15765.61
15007,22000,18769.45
48954,20990,31288.469
11095,175000,71025.67
48670,22000,25034.61
48733,32000,39128.934
6563,37000,38645.41
22290,175000,82326.016
1267,48000,51904.98
8616,4000,9198.447
27278,110000,61589.613
53473,9995,16186.372
19259,29000,49302.68
29202,24999,22949.885
44229,35645,43024.785
17613,19998,25312.746
16990,69995,79642.586
49941,26900,25815.254
5081,27900,25979.277
43271,26500,30555.727
51568,29999,63002.816
47869,15990,18234.92
30757,32000,33493.785
27466,29000,34128.46
8734,39000,79446.71
14865,15900,21858.77
1213,6000,11216.991
53978,36500,37915.4
5352,11499,14511.124
26506,36000,28995.396
23335,28000,33731.47
12982,28000,20829.445
22047,46599,50800.71
53257,21999,44654.914
48553,19995,30542.984
32540,38000,51588.734
19928,7500,8650.385
41744,42900,48541.32
15665,26999,37593.312
14372,47500,49868.418
22821,32850,31151.41
51898,27000,24490.488
2006,36495,47508.19
4166,37300,44540.65
26846,19900,22777.98
1750,11800,16479.086
37807,28500,37089.01
32280,4800,10494.712
39731,94000,72346.945
36841,52999,50147.918
22883,26000,27968.787
50756,34000,25824.941
37928,26500,33487.03
53174,36000,29186.828
42444,37000,31953.37
35763,144664,47021.527
511,105000,66176.43
18566,9750,10297.995
24273,12000,18355.098
25643,12995,14487.174
27550,14500,17805.783
50548,16600,11033.755
42951,69500,51465.883
44784,10500,14205.485
3519,21990,44828.164
54128,53950,60102.11
515,41100,23311.654
48984,52000,63665.066
52466,23500,33161.906
33567,85495,84410.64
12979,29999,62524.965
46246,20995,18215.559
50247,9995,10384.635
1460,45000,29231.623
11679,43663,41199.547
4679,29895,18934.352
31585,28000,45542.13
26178,64800,48706.09
7455,13900,10962.992
50300,65990,46739.074
44900,13500,16509.26
53873,22500,15969.655
1146,10340,12400.351
53217,25884,53939.94
48568,42500,45384.0
42529,29975,84410.41
15791,34700,49480.074
4751,8900,11420.667
22303,35000,22166.045
2838,79900,64396.08
51880,22000,26391.373
10935,18500,30958.102
32314,17900,17190.291
37386,8300,18510.096
11670,31000,34482.69
27325,42000,36422.742
24051,124990,55850.254
4802,10000,9959.087
41376,38500,32883.035
3294,28748,42462.82
52166,65000,39010.37
33478,69500,54731.695
5599,4500,18563.21
45252,34645,66148.53
12404,9999,10749.196
28604,17500,12536.829
11293,34500,33408.62
48406,32000,37956.73
46083,37000,60762.31
29824,17000,18120.139
28498,12999,13010.473
4172,42000,21212.154
45584,42000,35952.22
44916,15400,11384.933
52041,20000,11702.731
18598,14000,27734.61
19867,15999,17796.508
50390,65000,35538.03
52953,50000,70674.836
6722,38000,30803.57
31978,6500,9612.04
9740,61000,47283.406
16632,43449,47258.39
25912,43499,64556.52
12374,81000,62077.83
3464,5700,13441.726
28040,7900,24360.393
45861,32000,27005.139
48195,39390,36086.168
12214,7000,10802.13
34206,19500,18535.492
11888,59750,82272.84
50839,35000,26475.055
22080,48459,47020.336
48797,27500,48219.074
31069,27200,50101.145
25025,21500,30992.043
32123,15999,15037.257
26055,15999,14859.175
35749,32324,45619.96
18434,15900,10455.208
35927,38995,46615.438
46114,23105,57894.098
21914,44600,36787.527
16986,19000,23681.707
8244,18000,9815.213
30066,38000,40474.83
27894,37999,34715.08
19727,57500,102903.41
45471,49500,73194.086
47537,54800,48861.21
14205,39000,43932.61
45316,12999,16911.107
25282,65000,59925.26
11388,10700,25781.518
1371,6500,10331.261
42717,15000,16503.123
38792,11995,22852.021
39466,9888,14174.33
44114,13500,20092.72
32152,45000,48900.33
38200,11500,18165.426
6934,15999,33093.195
53107,185000,72376.8
45658,30000,47940.39
15329,15900,28320.03
22203,84500,81563.65
22184,32100,40901.91
19995,25000,46194.1
53235,14995,16638.605
50243,9200,6476.242
38666,83000,88859.03
19040,21500,32128.938
43204,32950,32887.133
26373,19900,23851.818
2415,35000,50971.953
4520,20500,28055.547
7879,66500,48616.477
35843,149900,62349.84
24415,9000,10910.083
14640,17700,16449.201
35264,24000,24940.451
41077,21000,29975.854
48802,8500,12386.857
31379,37500,50464.152
858,18987,37023.45
32129,25500,27225.299
35728,23500,56401.14
52762,42500,29798.408
13937,46000,53806.727
33565,84999,63773.027
20730,61500,24221.408
20759,19500,21661.205
26702,28500,28543.916
10876,31000,27778.576
38208,33500,48285.24
33583,144900,81711.54
29533,32999,50034.46
10248,51000,55011.668
16125,32300,44154.2
4944,21500,10366.406
13806,59900,42043.336
19724,44500,30283.514
30841,14000,23139.1
19738,40000,41208.355
3217,36999,35463.98
7474,73897,68688.25
48678,24000,30947.844
1990,3500,10640.5205
39843,11900,12930.215
51862,26000,35774.18
52094,8450,10354.779
10777,38000,33663.84
17040,16000,22980.82
42013,17800,27965.15
18905,21000,46638.934
44324,43642,35007.38
52083,31000,55205.355
9990,85500,71245.26
18657,32250,37979.66
31605,22550,19739.92
20672,47000,53872.12
13034,28900,28263.756
48957,59900,67351.03
45414,36000,33868.4
19625,12000,25802.39
41720,17000,30781.836
17378,50000,59222.375
41983,34645,38542.36
1784,5999,16590.502
29920,36000,33451.1
17958,6600,12244.022
49755,48000,69570.58
10904,15000,24346.13
20912,3600,55943.668
14490,18999,22439.766
36697,28999,24787.496
20318,15000,33355.973
42748,12700,13699.662
24155,51900,64979.145
45431,15750,8985.828
37593,12995,16415.002
50887,39100,33560.332
16706,11800,23949.59
7710,5999,15976.789
48388,13000,25632.127
3452,62900,53945.742
5700,27500,31279.11
33799,22800,16728.686
29859,59750,44520.465
6358,22450,26223.31
26086,4500,14085.039
6543,55900,61684.004
5235,48500,53028.684
26381,9999,12319.28
1092,52000,44005.477
14553,65900,54330.28
1726,15999,37441.15
30943,50000,60391.95
34737,7500,12799.171
21189,7599,9349.449
28320,30500,43528.848
27745,17500,14172.349
54094,6699,15591.765
42827,27000,30526.162
22400,33995,15096.907
11941,21900,46620.652
41259,10000,10771.37
4943,23000,35639.145
33948,16000,22946.174
15756,8995,17527.87
26687,17000,19362.203
34244,35645,39599.72
2832,37900,49193.266
48804,46599,51716.35
50694,70000,74604.41
49560,19995,28719.25
29702,37999,29610.69
3983,45999,51142.637
37348,42000,22085.723
21666,40000,38645.21
29641,13000,10952.764
23346,32500,39831.094
28310,150000,49129.637
3133,63500,58000.37
33564,52000,67573.14
47201,12500,14523.745
52637,147500,49118.855
27464,46552,53649.0
42330,38095,32242.623
50794,21375,27968.955
2402,75000,39271.902
14368,154900,66743.46
42433,53600,67944.33
38514,21000,15988.291
53868,35470,48879.75
11193,61000,41223.082
36984,16000,23995.832
41525,80900,70395.3
6087,53800,78485.73
43165,42590,43873.496
35259,46000,53809.242
10089,39900,54321.375
51970,25500,37113.15
3470,26950,24859.172
24712,30000,26178.53
12555,7900,17766.55
39162,44950,48084.37
15502,16995,11420.667
10268,21000,17994.75
8668,68000,46721.582
21701,12000,17345.36
14509,43449,76225.44
54246,28000,20184.156
594,23500,14886.093
10426,15900,6079.099
33502,26498,18920.096
49687,14000,21782.678
47463,8500,14471.63
2241,20999,32516.447
4782,28890,31581.217
52430,22000,14281.915
18042,7000,21968.484
29783,17900,12746.959
53394,18000,24503.346
7453,14900,15492.858
20723,36000,54663.137
32828,29500,31170.705
1977,8900,13252.309
19134,31000,25458.28
18937,35000,27235.617
41703,17500,38627.156
36553,7900,14753.1
12839,44990,48500.15
470,49999,46165.41
6535,52900,42552.414
21822,16800,14646.153
52151,14000,28601.137
14566,64000,55171.54
4620,45000,57696.363
25802,14500,19753.895
1787,129000,74037.8
15792,44990,54545.152
16143,7800,12867.401
4994,27500,24264.688
21384,29000,34188.117
29921,43900,76797.24
38894,20000,32455.436
44927,20000,25630.822
15622,27900,45794.56
16863,21000,49241.484
17387,119900,75132.69
4791,14500,25898.996
24308,11000,13612.589
18067,35000,38198.99
36604,4700,21462.297
14470,39990,56965.574
53885,21500,32007.244
32987,61350,45564.918
38783,12350,12291.559
13889,12000,23803.62
45910,31000,28300.041
14709,69500,77294.66
40597,7900,14052.682
20964,8450,15192.943
29706,61950,35938.1
54020,68000,35952.22
27040,18999,30181.148
9427,36495,40105.633
36887,25999,46033.52
28094,16499,13207.781
6204,12433,14466.339
47333,62450,43736.816
28375,5500,10437.302
51914,17900,18399.662
2219,49999,42795.273
16881,28500,23868.629
27202,18000,23305.883
35675,9000,9589.176
15079,19500,25649.975
17091,24999,30978.037
28014,7500,9418.86
41810,62500,69530.61
8694,8250,6683.0884
9154,27000,14573.71
32165,19190,35824.22
2269,39500,60704.594
22199,16900,18160.773
37024,27000,24631.928
13931,80000,59704.93
46996,10500,10986.337
6658,84500,57071.555
45762,10000,16712.307
49308,37000,27863.844
50697,74999,67591.65
32287,32500,42217.21
49951,11000,10548.535
13151,73000,35391.22
4556,47000,50987.934
51567,19500,45901.74
23337,59200,51484.016
33828,55000,65799.24
21718,19500,19720.916
38667,48000,59116.605
337,81330,54814.074
10122,56000,53651.37
153,26000,46591.152
9589,7850,14698.347
16584,61500,63174.99
44090,10750,20757.654
46763,36950,34006.836
17626,51500,48264.664
13218,41599,54015.52
37033,23000,23346.506
11893,229000,63014.445
7028,48990,47803.133
3340,23995,29746.543
7524,8900,11487.538
5879,13900,11681.756
22700,15500,18198.074
21041,32000,19280.244
36529,110000,31071.102
32055,57000,37051.477
11961,20500,31842.965
40824,68750,51438.668
35926,34995,14593.006
2596,69000,63413.26
25155,61000,50179.406
4760,30775,49220.05
49942,8900,10366.406
37359,104000,62610.305
38282,14000,10046.484
18154,53000,59310.19
48781,24950,28617.438
16582,13800,16967.965
25806,54900,62070.4
37638,33900,33988.758
35289,110000,67446.02
36795,21750,12431.885
37917,63900,67069.305
44370,39900,54282.98
12882,25215,37500.96
2730,34900,34624.676
43560,22000,21297.168
7129,27500,33601.25
11980,12000,15085.469
20037,34999,42844.82
34982,29000,66166.67
49403,14000,25003.656
30698,55000,42359.074
8166,63000,54579.875
52022,12500,16912.53
46550,57000,43639.168
47110,11400,13991.26
34846,46000,54600.164
34257,64600,31081.545
6598,31500,42057.98
35583,12490,11033.842
36830,30000,25952.762
30417,41500,26518.219
21159,82000,79326.305
2285,12000,27063.846
18501,26500,53210.832
27396,11000,26797.74
3466,12500,13951.3125
42534,5995,9932.624
37138,53000,42722.367
36933,17999,30930.225
19798,38900,60730.312
17704,12000,19662.992
37513,65000,36109.84
12895,48995,46986.668
23358,26000,26581.596
41634,64500,52876.832
52369,16000,24078.77
2928,29895,51784.676
16748,29950,32657.922
36251,47541,53037.613
31341,19500,31321.13
38251,11000,29051.299
17788,11495,22743.629
15000,33600,36385.848
2499,7300,9503.868
41772,36000,42693.598
3269,75000,63332.5
19000,12499,16853.88
130,8550,19928.521
3958,51900,63553.47
3931,7500,11910.816
2582,22000,10718.631
15946,22500,40801.47
19764,95999,24675.96
3232,19000,41377.562
24761,25900,28446.227
39879,87500,70281.68
7552,129000,24293.307
17642,21500,17222.504
46679,72980,46171.797
1319,26999,22594.488
41,40000,61877.062
26899,43999,42582.22
28663,21990,24445.39
22197,97500,67173.56
26575,22000,18323.71
44813,44495,60097.516
16563,17000,31494.959
5761,19000,35474.367
33681,32750,32846.535
27460,28500,36508.15
7100,45000,50365.277
8792,6600,17302.057
27779,14500,25975.086
18463,27950,30793.521
46388,10795,15097.505
5872,40200,44535.5
22138,20000,24382.785
13279,17999,23170.783
34473,48000,70545.805
25737,148500,24924.748
34063,21500,30410.365
33699,8300,21339.627
35831,5995,17572.21
3369,59335,55171.54
40398,41950,52325.082
41198,8500,13681.083
18709,34700,29681.432
45901,8400,10753.528
3199,6500,12304.516
23237,18000,33616.996
28081,25695,37222.8
13595,30000,41838.465
50972,129900,66058.08
16274,10500,32212.998
24900,2500,12362.388
3585,97555,49455.83
1866,11000,10590.683
4213,4500,9128.296
46695,11500,23350.127
43914,42000,32762.316
5935,30000,37682.836
43881,33885,39493.535
5851,65000,51622.72
769,7200,13110.939
31520,20000,27001.318
51523,6099,13042.301
23996,47500,45455.434
47729,24950,27066.969
21444,74500,72806.766
17173,18995,24403.121
22154,44500,60581.273
46096,210000,58296.984
14885,7950,9082.076
35792,20999,28765.605
33618,9000,14413.836
7669,29990,15431.32
49490,27000,22700.031
20277,52590,49196.848
40224,50000,53591.492
45371,8500,8220.611
14669,9000,14297.576
8787,63500,40231.46
51939,22000,22460.896
9517,4300,8222.588
17786,26299,38548.113
16998,19975,16910.133
7120,15000,26336.014
42062,2000,28140.914
38878,44605,50499.83
39757,22222,21917.406
2626,28500,32720.092
4625,32455,58088.227
18108,38500,44906.58
32547,84999,70361.195
46461,67995,36901.31
42184,9450,29499.21
45451,60000,68506.59
36742,38005,44229.336
49964,78999,46773.0
6593,93999,80951.27
3484,18900,27015.988
25170,9000,9016.08
24299,12500,19677.947
7065,18000,20162.426
20590,37950,44786.723
12271,18987,46866.035
25148,38900,47106.742
22295,13000,11882.311
49191,31000,25918.062
33304,23800,29995.328
15900,84000,57964.754
43529,36599,49592.176
13995,29000,46033.945
45130,20999,64036.973
31782,46900,53256.043
28836,15750,16125.827
32574,28000,47312.523
4379,49000,42299.42
31870,15000,20168.945
18811,54999,57559.97
7868,59203,40852.35
21372,37499,48259.52
23126,10700,11684.62
30379,46900,41088.914
15826,31500,30802.17
46032,147500,58413.65
854,21495,52202.15
28104,12800,18699.959
5275,31000,35617.277
10739,24900,35371.516
6586,69250,58923.383
52744,9450,17429.148
26299,19000,29151.094
16008,7100,15827.493
35780,44000,52326.824
26075,17550,30723.643
17675,7900,12548.736
35666,116911,76037.43
17363,41900,77775.625
2865,23000,17359.473
5329,26000,27569.324
22041,47645,38373.082
30507,10795,11464.177
17246,36994,80464.25
52585,27000,31132.758
24200,49999,78805.164
35635,70000,38850.4
25267,39687,38657.17
52469,59900,58562.4
9403,27500,32434.62
13491,95500,63263.035
23554,36000,33165.832
2334,57000,38456.168
8864,75000,53768.402
41607,27890,42454.973
17858,17000,25414.895
51287,10995,13172.814
54025,32455,56338.98
29471,72900,65681.375
4976,25995,32124.531
10206,18000,11230.726
31501,32000,30584.076
24203,39900,34435.875
11322,26500,26661.77
8944,14000,42836.934
46387,22000,22554.568
36590,9599,30968.85
7208,92500,55226.508
11588,17999,17939.947
51813,40000,37373.87
24174,33999,23408.043
5176,19996,30582.988
47198,24500,41543.09
9190,13300,9966.195
46630,29000,46232.598
26849,8500,14978.032
19906,16500,31862.674
31875,28900,25528.277
47004,34084,40588.99
47259,66500,68227.93
31346,41000,42385.875
13388,3900,9503.868
1911,13490,14118.022
22146,4000,13782.319
27660,36000,44195.703
5280,7500,8732.571
7529,78990,62685.19
9432,27500,29103.229
47126,124990,75991.234
28173,85000,54103.547
54103,35000,25145.855
16404,20000,23920.275
14381,36000,34734.83
32680,82000,89754.164
34241,26000,43515.45
5847,45000,45732.418
15410,66900,34031.99
16753,18000,35787.312
41801,27899,67425.99
46018,31933,28956.14
1646,54490,48882.805
51377,11500,11960.801
235,33295,44179.92
6353,71400,72270.68
30382,114900,70077.484
42189,74500,68000.266
20881,16500,25285.88
34309,63000,66826.98
31045,82499,61336.215
30983,43640,71445.93
33409,22995,49563.58
19437,42999,79578.58
13243,84995,45178.918
44462,54500,66120.88
11110,10199,17417.658
19978,5500,10327.239
9519,7500,9349.449
51803,6500,15353.531
39693,16000,21191.227
48201,8500,13427.279
2055,25900,25451.275
43755,53000,53335.2
25921,93500,65186.39
53062,44900,74495.91
5207,22995,28868.52
30552,20900,23218.457
35002,10200,8382.348
4889,9999,10176.521
26092,7900,15312.161
41193,17500,11938.801
48106,29950,47095.12
42342,49500,72456.52
48416,32300,47510.52
26896,87500,54720.586
44178,7500,7955.756
46780,6999,15237.993
32833,28000,37669.15
3880,6999,16954.666
26854,5100,8819.955
2867,11000,8537.296
41385,20999,25956.97
45920,7999,14297.224
25528,36800,51697.777
41856,74995,41327.39
13291,21990,66370.07
47974,40500,41194.336
16739,12990,14186.219
44372,27000,29323.895
19527,55600,30176.604
54121,34999,41862.355
14956,18500,29143.557
37347,18200,17001.348
8888,82150,67389.836
49462,55000,36665.457
51938,144940,43930.1
31591,11500,13278.292
38773,74500,62148.934
33318,49000,45145.805
37229,18000,12872.259
32900,19995,38777.4
26812,24200,37387.68
17167,124990,75719.0
33234,144664,20758.707
46104,9500,13168.338
6664,4900,14238.599
47969,8999,11978.466
24551,32085,45187.39
349,12500,10778.044
20871,40500,18993.598
6265,53950,66983.07
37378,97500,69398.93
12583,99750,54014.875
26625,18000,7283.559
12001,39366,47186.406
8402,26000,27691.043
26070,19500,19497.912
32622,15300,18934.352
18415,36000,32173.506
29795,6250,24764.537
50754,19995,25765.938
20031,59800,73530.59
4086,37500,53463.043
8579,32900,66359.734
52446,52500,54724.473
38786,19000,30552.129
29667,58000,51799.098
1735,19900,30776.748
8820,7750,8301.962
26732,44000,60199.555
41948,31000,31563.166
43198,124900,68588.586
47864,15363,37013.223
29479,3850,29325.03
670,6000,12270.675
23788,29000,60102.0
48573,10950,11878.601
25741,17900,33776.22
33444,15500,26699.818
11550,15500,16360.696
28598,14000,26201.406
49262,23450,50708.723
33472,70000,67105.79
41130,22999,34784.24
10334,25700,27527.578
27715,67000,55307.016
10104,12700,14913.222
43040,20499,13262.552
8349,18853,48649.066
38536,13999,17968.01
31414,48000,47992.074
2937,35645,42302.652
15648,8300,22010.453
41053,7999,9553.378
30307,32999,54984.77
39021,7995,12599.714
5703,41688,52400.6
14016,41000,41946.645
39888,30000,26186.566
23379,29999,58999.094
5621,16500,23575.938
9690,26800,30506.865
7127,6600,10980.881
110,34000,56782.086
12838,5899,10693.497
48172,17999,38675.992
42099,16900,10138.934
24098,12500,27941.902
42493,28499,31124.299
35802,26999,52970.75
32485,26000,29143.557
4514,11900,12606.296
40715,40000,44335.656
16909,11000,10158.443
19066,59750,62498.15
17482,33333,36352.047
43642,7500,18061.557
40154,13310,17378.57
29145,12500,10981.601
15913,37900,32117.13
12816,10000,12864.822
2004,22222,69046.88
26017,26500,35255.47
21035,45000,60068.375
35567,6500,9956.27
20953,4500,12917.974
34631,16499,26560.852
2169,19000,22462.592
50274,240000,18274.799
28354,24000,12228.739
42555,144664,29343.512
40055,55999,42987.547
19452,86999,58292.94
31371,11000,24843.084
48719,6750,14402.525
33909,27500,43247.617
24444,9999,11520.022
35526,10998,20923.986
50622,46500,48994.94
17570,17800,28241.64
4302,58900,81232.664
51421,10795,27595.047
13531,13250,17978.006
48754,21500,13680.785
4352,44800,47599.77
17198,19780,35529.5
27665,20900,20512.225
49744,7000,9772.151
29725,6500,17961.248
33430,54000,50573.008
18509,4999,14807.968
16783,9975,23165.424
10130,62900,79041.195
45372,47500,62680.08
45938,50000,57621.34
4568,63995,11800.295
4159,63500,83629.67
11762,47995,54828.043
147,8900,10495.234
52389,209991,110320.83
28340,5999,10191.574
31628,20995,31852.8
26000,7500,12206.923
51170,25925,36519.11
51586,75000,46077.633
5473,11500,24113.318
46584,29999,25662.748
1469,31000,38906.52
31339,13000,14289.871
52376,26000,39907.773
17181,12995,20714.814
32283,40000,58672.816
45392,26500,28422.219
48101,4200,9313.15
50230,24900,47707.68
39547,54999,58849.832
27091,13490,18219.855
21690,27000,32556.23
29827,36000,40006.062
284,12000,22251.957
8900,28600,40341.734
31072,40999,30523.79
35496,50000,44883.29
29683,209900,55482.43
35808,61995,29788.064
19020,15900,19939.535
23533,86500,72258.0
20532,35000,24669.22
14004,21000,45842.863
11633,94000,47677.133
63,9500,16695.658
51238,15000,12875.114
49999,23000,25981.492
38246,37050,33027.586
